72
4
0,0,0,0,1.66286,68
0,0,0,1,1.22857,173
0,0,0,2,-6.07400,193
0,0,0,3,0.84908,710
0,0,1,0,-7.12768,371
0,0,1,1,-13.08386,399
0,0,1,2,-15.38696,334
0,0,1,3,-10.44089,143
0,1,0,0,0.51032,86
0,1,0,1,-6.55628,57
0,1,0,2,-42.27968,42
0,1,0,3,3.85312,235
0,1,1,0,7.36881,169
0,1,1,1,-2.74577,145
0,1,1,2,-2.40559,97
0,1,1,3,-22.23955,66
0,2,0,0,3.37836,13
0,2,0,1,0.39398,1
0,2,0,2,-40.90911,5
0,2,0,3,0.57839,0
0,2,1,0,0.34784,0
0,2,1,1,5.94901,6
0,2,1,2,-3.98363,2
0,2,1,3,-6.86459,2
1,0,0,0,-37.89789,688
1,0,0,1,-36.14599,735
1,0,0,2,-28.83871,778
1,0,0,3,-9.68929,3986
1,0,1,0,-36.81920,1674
1,0,1,1,-13.38782,2774
1,0,1,2,-41.57670,1547
1,0,1,3,-34.25108,663
1,1,0,0,-13.72637,422
1,1,0,1,-25.23711,338
1,1,0,2,-36.94058,330
1,1,0,3,0.78265,1528
1,1,1,0,-13.48413,1199
1,1,1,1,1.24495,790
1,1,1,2,-15.91499,565
1,1,1,3,-13.35298,332
1,2,0,0,0.44106,78
1,2,0,1,0.28536,32
1,2,0,2,-42.18970,28
1,2,0,3,3.41273,76
1,2,1,0,1.77866,89
1,2,1,1,3.06983,25
1,2,1,2,-2.85117,16
1,2,1,3,-10.51076,16
2,0,0,0,-34.71167,2051
2,0,0,1,-39.86933,2280
2,0,0,2,-99.17538,2340
2,0,0,3,-9.89087,26022
2,0,1,0,-8.87081,10448
2,0,1,1,-39.62162,13802
2,0,1,2,-39.66720,12087
2,0,1,3,-68.87110,2146
2,1,0,0,-16.34217,3171
2,1,0,1,-4.23639,2208
2,1,0,2,-34.57599,1946
2,1,0,3,-2.47263,17500
2,1,1,0,-13.20922,19341
2,1,1,1,-14.89219,6139
2,1,1,2,-10.31926,3901
2,1,1,3,-63.69590,2245
2,2,0,0,-12.84019,1543
2,2,0,1,-8.21786,396
2,2,0,2,-39.97524,406
2,2,0,3,0.88736,3869
2,2,1,0,-3.72634,4808
2,2,1,1,-27.28516,1265
2,2,1,2,-16.67105,972
2,2,1,3,-57.59623,1017
